matchup,round,opening_index,engine_a,engine_b,engine_a_family,engine_b_family,engine_a_rating,engine_b_rating,engine_a_color,white,black,result,engine_a_score,termination,plies,config_hash,opening_suite,source_pgn
maia2-1100__vs__maia2-1300,48,24,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,54,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,49,25,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,44,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,50,25,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1-0,0.0,checkmate,61,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,51,26,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,47,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,52,26,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,0-1,1.0,checkmate,54,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,53,27,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,stalemate,118,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,54,27,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,80,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,55,28,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,72,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,56,28,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,82,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,57,29,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,39,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
